Date,Region,Category,Product,Units,UnitPrice
2024-01-01,North,Home & Kitchen,LED Table Lamp,7,632.49
2024-01-01,North,Clothing,Winter Jacket,5,2383.06
2024-01-01,South,Clothing,Denim Jeans,1,1518.99
2024-01-02,West,Home & Kitchen,Vacuum Cleaner,2,6333.87
2024-01-03,East,Clothing,Women's Kurti,5,687.26
2024-01-03,West,Electronics,USB-C Charger 65W,8,1347.06
2024-01-04,East,Home & Kitchen,Vacuum Cleaner,4,4274.51
2024-01-05,East,Sports,Cricket Bat,3,996.02
2024-01-05,North,Electronics,Power Bank 20000mAh,6,1554.76
2024-01-05,East,Home & Kitchen,Vacuum Cleaner,5,4224.42
2024-01-05,South,Electronics,Smartwatch,2,3801.74
2024-01-05,South,Clothing,Winter Jacket,6,2835.07
2024-01-07,South,Home & Kitchen,Air Purifier,2,7761.8
2024-01-07,South,Clothing,Men's Cotton T-Shirt,7,672.08
2024-01-08,East,Home & Kitchen,LED Table Lamp,3,487.75
2024-01-08,North,Home & Kitchen,Air Purifier,5,7909.99
2024-01-09,North,Clothing,Denim Jeans,8,1373.48
2024-01-09,South,Clothing,Women's Kurti,1,868.89
2024-01-10,South,Electronics,Power Bank 20000mAh,1,1643.32
2024-01-10,East,Electronics,USB-C Charger 65W,3,1334.41
2024-01-11,South,Sports,Yoga Mat,5,803.22
2024-01-11,South,Home & Kitchen,LED Table Lamp,8,829.12
2024-01-11,South,Electronics,Wireless Earbuds,7,1973.03
2024-01-12,South,Home & Kitchen,Vacuum Cleaner,3,3539.43
2024-01-14,South,Clothing,Men's Cotton T-Shirt,4,556.1
2024-01-14,North,Home & Kitchen,Vacuum Cleaner,6,3410.93
2024-01-14,East,Clothing,Women's Kurti,2,784.14
2024-01-15,West,Home & Kitchen,Non-Stick Cookware Set,6,2307.93
2024-01-16,North,Home & Kitchen,Electric Kettle,8,1059.85
2024-01-17,South,Sports,Cricket Bat,2,1470.79
2024-01-17,South,Sports,Football,6,534.36
2024-01-18,North,Home & Kitchen,Vacuum Cleaner,3,6776.28
2024-01-19,West,Clothing,Running Shoes,6,3539.4
2024-01-19,North,Sports,Football,7,1113.72
2024-01-20,North,Sports,Dumbbell Set 10kg,12,1954.56
2024-01-20,West,Clothing,Winter Jacket,3,3087.67
2024-01-21,East,Electronics,Power Bank 20000mAh,5,1741.24
2024-01-21,East,Home & Kitchen,Electric Kettle,2,847.58
2024-01-21,East,Home & Kitchen,Non-Stick Cookware Set,4,2368.82
2024-01-23,East,Sports,Cricket Bat,4,2160.47
2024-01-23,North,Sports,Football,6,1028.07
2024-01-24,South,Home & Kitchen,Non-Stick Cookware Set,6,1802.96
2024-01-24,East,Electronics,Smartwatch,7,4577.33
2024-01-24,South,Home & Kitchen,LED Table Lamp,6,616.83
2024-01-24,East,Electronics,Smartwatch,3,3814.64
2024-01-25,East,Electronics,Wireless Earbuds,7,1822.79
2024-01-25,South,Sports,Football,8,1176.08
2024-01-26,West,Electronics,Smartwatch,5,3940.86
2024-01-26,North,Sports,Cricket Bat,10,1905.97
2024-01-27,South,Electronics,Power Bank 20000mAh,8,990.49
2024-01-28,South,Electronics,Wireless Earbuds,6,2920.83
2024-01-28,North,Electronics,Bluetooth Speaker,9,2527.97
2024-01-29,West,Clothing,Men's Cotton T-Shirt,7,443.71
2024-01-29,West,Clothing,Running Shoes,4,3431.57
2024-01-29,North,Electronics,Smartwatch,8,5079.63
2024-01-30,South,Electronics,USB-C Charger 65W,3,739.82
2024-01-30,North,Electronics,Power Bank 20000mAh,3,1418.65
2024-01-31,West,Clothing,Men's Cotton T-Shirt,6,374.8
2024-01-31,North,Clothing,Winter Jacket,8,1950.85
2024-01-31,North,Electronics,Power Bank 20000mAh,8,1061.98
2024-01-31,North,Home & Kitchen,Vacuum Cleaner,3,4365.15
2024-01-31,North,Clothing,Denim Jeans,5,1707.56
2024-01-31,West,Home & Kitchen,Electric Kettle,5,637.16
2024-02-01,North,Clothing,Running Shoes,7,3796.25
2024-02-01,North,Clothing,Women's Kurti,8,723.34
2024-02-02,South,Sports,Football,8,791.04
2024-02-02,West,Sports,Football,2,816.4
2024-02-02,North,Sports,Cycling Helmet,8,1171.58
2024-02-03,West,Clothing,Winter Jacket,2,3038.63
2024-02-03,West,Clothing,Winter Jacket,8,2669.37
2024-02-04,South,Clothing,Denim Jeans,1,1444.59
2024-02-04,North,Electronics,USB-C Charger 65W,1,871.31
2024-02-04,North,Electronics,Bluetooth Speaker,1,2717.89
2024-02-04,West,Home & Kitchen,LED Table Lamp,1,424.07
2024-02-04,North,Home & Kitchen,Non-Stick Cookware Set,9,2532.16
2024-02-05,East,Home & Kitchen,LED Table Lamp,6,739.76
2024-02-05,West,Sports,Cricket Bat,5,1325.49
2024-02-05,South,Electronics,USB-C Charger 65W,6,943.23
2024-02-05,South,Clothing,Women's Kurti,8,870.64
2024-02-06,South,Electronics,Smartwatch,6,3767.51
2024-02-07,South,Electronics,Smartwatch,8,4357.77
2024-02-07,North,Electronics,Bluetooth Speaker,6,2722.66
2024-02-07,West,Home & Kitchen,Electric Kettle,3,1112.39
2024-02-07,North,Home & Kitchen,Vacuum Cleaner,6,5383.64
2024-02-08,South,Electronics,Wireless Earbuds,4,1895.16
2024-02-09,North,Home & Kitchen,Electric Kettle,7,1225.12
2024-02-09,West,Clothing,Denim Jeans,3,1472.57
2024-02-09,West,Home & Kitchen,Air Purifier,4,6823.67
2024-02-10,East,Sports,Cycling Helmet,7,1521.55
2024-02-10,East,Home & Kitchen,Air Purifier,7,5462.94
2024-02-10,North,Sports,Cricket Bat,5,967.0
2024-02-10,South,Sports,Yoga Mat,7,811.01
2024-02-11,North,Clothing,Women's Kurti,3,923.85
2024-02-11,West,Sports,Yoga Mat,1,899.95
2024-02-12,North,Clothing,Denim Jeans,2,1360.17
2024-02-12,West,Electronics,Smartwatch,1,5007.73
2024-02-12,East,Electronics,Bluetooth Speaker,2,2247.73
2024-02-13,North,Electronics,Power Bank 20000mAh,7,1630.59
2024-02-13,West,Home & Kitchen,Electric Kettle,6,748.22
2024-02-13,East,Sports,Cycling Helmet,3,1040.81
2024-02-14,West,Sports,Cycling Helmet,4,1075.6
2024-02-15,North,Home & Kitchen,Vacuum Cleaner,7,6309.39
2024-02-15,North,Home & Kitchen,Air Purifier,5,5622.93
2024-02-16,East,Sports,Football,1,814.81
2024-02-16,West,Clothing,Winter Jacket,1,2205.32
2024-02-17,South,Clothing,Men's Cotton T-Shirt,2,576.7
2024-02-17,West,Sports,Cricket Bat,7,1183.18
2024-02-18,South,Clothing,Women's Kurti,4,504.1
2024-02-19,South,Sports,Cricket Bat,8,2022.99
2024-02-20,West,Home & Kitchen,Vacuum Cleaner,6,3417.98
2024-02-21,South,Home & Kitchen,Electric Kettle,5,784.89
2024-02-22,South,Electronics,USB-C Charger 65W,1,765.59
2024-02-22,South,Electronics,Bluetooth Speaker,5,1419.41
2024-02-22,East,Sports,Cycling Helmet,3,758.76
2024-02-23,South,Clothing,Denim Jeans,8,1159.4
2024-02-23,North,Electronics,Bluetooth Speaker,2,1996.38
2024-02-24,North,Clothing,Denim Jeans,5,1545.85
2024-02-24,North,Sports,Dumbbell Set 10kg,9,1565.28
2024-02-24,East,Clothing,Winter Jacket,4,1944.21
2024-02-24,North,Clothing,Winter Jacket,7,2869.39
2024-02-25,North,Clothing,Women's Kurti,9,584.11
2024-02-25,South,Sports,Yoga Mat,5,720.3
2024-02-25,West,Sports,Yoga Mat,2,786.07
2024-02-25,North,Clothing,Running Shoes,6,3517.43
2024-02-26,West,Sports,Dumbbell Set 10kg,2,2440.63
2024-02-27,East,Electronics,Smartwatch,5,4830.04
2024-02-27,East,Home & Kitchen,Electric Kettle,4,1103.02
2024-02-28,North,Home & Kitchen,LED Table Lamp,8,479.08
2024-02-28,South,Electronics,Smartwatch,7,6154.17
2024-02-28,East,Electronics,Bluetooth Speaker,3,2687.88
2024-02-29,South,Home & Kitchen,Air Purifier,5,4910.12
2024-03-01,East,Home & Kitchen,LED Table Lamp,4,898.18
2024-03-01,North,Sports,Cricket Bat,6,1797.38
2024-03-01,East,Sports,Dumbbell Set 10kg,3,2015.62
2024-03-01,West,Clothing,Women's Kurti,6,1016.63
2024-03-01,West,Electronics,Bluetooth Speaker,5,2038.17
2024-03-01,West,Sports,Yoga Mat,2,636.11
2024-03-01,East,Electronics,Power Bank 20000mAh,5,1267.96
2024-03-02,North,Electronics,Smartwatch,1,6316.32
2024-03-04,West,Sports,Cricket Bat,6,1928.4
2024-03-05,West,Clothing,Running Shoes,1,1870.31
2024-03-07,North,Clothing,Denim Jeans,7,1733.44
2024-03-07,West,Clothing,Running Shoes,1,2461.13
2024-03-07,North,Clothing,Men's Cotton T-Shirt,9,417.07
2024-03-07,East,Clothing,Winter Jacket,7,2172.04
2024-03-08,West,Home & Kitchen,Air Purifier,10,5046.42
2024-03-08,East,Clothing,Women's Kurti,3,956.88
2024-03-08,East,Clothing,Men's Cotton T-Shirt,3,393.11
2024-03-08,East,Clothing,Women's Kurti,3,1017.55
2024-03-09,South,Clothing,Men's Cotton T-Shirt,1,563.61
2024-03-10,West,Sports,Cricket Bat,7,1483.1
2024-03-10,East,Clothing,Running Shoes,6,2846.92
2024-03-11,West,Sports,Yoga Mat,2,476.42
2024-03-11,South,Clothing,Men's Cotton T-Shirt,2,527.69
2024-03-11,West,Electronics,Bluetooth Speaker,8,2313.72
2024-03-11,West,Electronics,USB-C Charger 65W,3,984.84
2024-03-11,East,Sports,Dumbbell Set 10kg,3,2319.98
2024-03-11,North,Clothing,Women's Kurti,8,958.72
2024-03-12,East,Sports,Football,2,513.3
